服务,级别,错误,消息,组件,原因
AbaService,WARN,COUPON_SINGLE,优惠券限单张，用户ID: 10185,SingleCouponManager,已使用一张
PayService,ERROR,PAY_REFUND_PART_FAIL,部分退款失败，订单ID: 20057,PartRefundFailManager,剩余金额不足
StockService,INFO,STOCK_BATCH_MERGE,批次合并，商品ID: 30043,BatchMergeManager,减少碎片化
OrderService,ERROR,ORDER_BATCH_HOLD,批量挂起，订单数: 20,BatchHoldManager,涉嫌作弊
NotiService,WARN,PUSH_SOUND_FAIL,推送声音文件缺失， sound: coupon.caf,SoundFileManager,使用默认
UserService,INFO,PROFILE_VIEW,资料被查看，用户ID: 10186,ViewTracker,来源: 搜索
CartService,ERROR,CART_CLEAR_FAIL,购物车清空失败，用户ID: 10187,ClearFailManager,锁冲突
EmailService,WARN,LIST_IMPORT_DUP,导入重复邮箱，数量: 100,ImportDupManager,自动跳过
GatewayService,ERROR,SSL_HANDSHAKE_FAIL,SSL握手失败， cipher mismatch,HandshakeFailManager,协议不一致
LogService,INFO,LOG_REMOTE_INDEX,远程索引创建成功，Index: log-2025-09-22,RemoteIndexManager,Elasticsearch
SearchService,WARN,QUERY_BRACKET_ERR,"括号不匹配，查询: ""(手机 AND """,BracketValidator,语法错误
AuthService,WARN,PASSWORD_DICT,密码在常见字典，用户ID: 10188,DictPasswordManager,建议修改
PayService,INFO,PAY_SCORE_QUERY,支付分查询，用户ID: 10189,ScoreQueryManager,分数: 750
StockService,ERROR,STOCK_UNIT_MISMATCH,单位不匹配，系统: 件，入库: 箱,UnitMismatchManager,拒收
OrderService,INFO,ORDER_TRACK_PUSH_OFF,物流推送关闭，用户ID: 10190,TrackPushToggler,用户设置
NotiService,ERROR,EMAIL_BOUNCE_HARD,硬反弹，邮箱: user6@example.com,BounceHardManager,地址不存在
UserService,WARN,THIRD_DATA_SYNC_FAIL,第三方数据同步失败，平台: wechat,SyncFailManager,API限流
CartService,INFO,CART_RECOMMEND,推荐商品加入购物车，用户ID: 10191,RecommendManager,数量: 2
GatewayService,WARN,BACKUP_BACKEND_DOWN,备后端也宕机，服务: PayService,BackupDownManager,单点
LogService,ERROR,LOG_ENCRYPT_FAIL,日志加密失败，算法: AES,EncryptFailManager,密钥缺失
SearchService,INFO,AUTO_COMPLETE_CACHE,"自动完成缓存命中，关键词: ""跑步""",AcCacheManager,延迟<10ms
AarService,ERROR,ACCOUNT_MERGE_FAIL,账号合并失败，用户ID: 10192→10193,MergeFailManager,冲突
AbaService,INFO,BALANCE_MONTH_REPORT,月度余额报告，用户ID: 10194,MonthReportManager,已邮件
PayService,WARN,PAY_CHANNEL_SLOW_LOG,渠道慢日志，wxpay>2s 次数: 15,SlowLogManager,警告
StockService,WARN,STOCK_SOFT_RESERVE_EXPIRE,软预留过期，商品ID: 30044,SoftReserveExpireManager,自动释放
OrderService,ERROR,ORDER_BATCH_REFUND_FAIL,批量退款失败，订单数: 30,BatchRefundFailManager,渠道限制
NotiService,INFO,SMS_REPLY,短信回复收到，手机号: 139****8888,SmsReplyManager,内容: 退订
UserService,WARN,LOGIN_PASSWORD_SIMPLE,密码过于简单，用户ID: 10195,SimplePasswordManager,强制修改
CartService,ERROR,CART_NETWORK_ERR,购物车网络错误，用户ID: 10196,NetworkErrManager,请重试
EmailService,WARN,PREVIEW_LINK_FAIL,预览链接生成失败，模板ID: 60013,PreviewLinkManager,过期时间设置错误
GatewayService,INFO,CERT_OCSP_VALID,OCSP检查有效，证书: *.pay.com,OcspValidManager,正常
LogService,WARN,LOG_LOST_FIELD,日志字段缺失，字段: userId,FieldCheckManager,补默认值
SearchService,ERROR,CLUSTER_DISK_FULL,集群磁盘满，节点: node8,DiskFullManager,只读
AuthService,INFO,PERMISSION_SYNC,权限同步完成，角色数: 25,SyncManager,耗时: 3s
PayService,ERROR,PAY_SETTLE_DISCREPANCY,结算差异，金额: ￥0.01,DiscrepancyManager,待调账
AarService,WARN,DEVICE_LOST,设备丢失，用户ID: 10198,DeviceLostManager,远程登出
AbaService,ERROR,COUPON_BIND_EXPIRE,优惠券绑定超时，用户ID: 10199,BindExpireManager,超过24小时
PayService,INFO,PAY_CHANNEL_PRIORITY,渠道优先级调整，wxpay→alipay,PriorityManager,费率优势
StockService,ERROR,STOCK_MOVE_BATCH_FAIL,批量移库失败，数量: 1000,BatchMoveFailManager,线路占用
OrderService,INFO,ORDER_TRACK_NUMBER,运单号生成，订单ID: 20059,TrackNumberManager,顺丰: SF1234567890
NotiService,WARN,NOTI_CUSTOM_OFF,自定义通知关闭，用户ID: 10200,CustomOffManager,用户设置
UserService,ERROR,LOGIN_SMS_FAIL,短信登录失败，手机号: 138****1111,SmsLoginManager,验证码错误
CartService,INFO,CART_BATCH_REMOVE,批量移除商品，数量: 10,BatchRemoveManager,用户选择
EmailService,WARN,CLICK_RATE_DROP,点击率下降， CampaignID: 90001,DropWatcher,环比-15%
GatewayService,ERROR,BACKEND_DNS_FAIL,后端DNS解析失败，服务: RewardService,DnsFailManager,域名过期
